Time(s),MC SW Overview - Actual Position(mm),MC SW Force Control - Measured Force(N),MC SW Force Control - Actual Acceleration(m/s^2),MC SW Overview - Actual Velocity(m/s),
0,-0.1507,-5.2,2.778,0.001066,
0.005,-0.1501,-5.2,-4.611,0.002755,
0.01,-0.1568,-5.1,-5.493,-0.005955,
0.015,-0.155,-5.2,-0.815,0.001066,
0.02,-0.155,-5.1,0.595,-0.0016,
0.025,-0.1544,-5.1,-1.408,0,
0.03,-0.1562,-5.1,-0.454,-0.0016,
0.035,-0.1599,-5.2,-2.315,-0.003288,
0.04,-0.1562,-5.1,1.267,-0.001066,
0.045,-0.1562,-5.1,-1.05,0,
0.05,-0.1611,-5.1,1.363,-0.0016,
0.055,-0.1562,-5.1,1.711,0.002755,
0.06,-0.1684,-5.1,-0.924,-0.007555,
0.065,-0.1715,-5.1,-1.69,0,
0.07,-0.1757,-5.1,0.713,-0.0016,
0.075,-0.1751,-5.2,-3.612,0.001066,
0.08,-0.1897,-5.2,-1.458,-0.004888,
0.085,-0.2458,-5.6,-5.831,-0.017866,
0.09,-0.3789,-5.4,2.48,-0.029866,
0.095,-0.5541,-5.3,-4.888,-0.040711,
0.1,-0.7481,-5.2,1.857,-0.040088,
0.105,-0.9422,-5.1,0.565,-0.0352,
0.11,-1.1272,-5,-1.006,-0.034755,
0.115,-1.295,-5,-5.029,-0.035822,
0.12,-1.444,-5,1.841,-0.032622,
0.125,-1.577,-5.1,-2.786,-0.026577,
0.13,-1.7156,-5.2,-1.879,-0.029333,
0.135,-1.8633,-5.2,-2.899,-0.030933,
0.14,-2.0293,-5.2,2.96,-0.036888,
0.145,-2.2106,-5.2,-3.165,-0.032622,
0.15,-2.4223,-5.2,-1.224,-0.045511,
0.155,-2.6433,-5.2,-4.846,-0.0472,
0.16,-2.8703,-5.1,2.492,-0.042844,
0.165,-3.1072,-5.1,-2.465,-0.045066,
0.17,-3.3464,-5.2,-3.588,-0.051555,
0.175,-3.5845,-5.2,-3.721,-0.046666,
0.18,-3.8347,-5.1,-0.696,-0.054222,
0.185,-4.0776,-5.1,4.707,-0.044977,
0.19,-4.334,-5.2,-0.255,-0.053155,
0.195,-4.5982,-5.2,-1.169,-0.052622,
0.2,-4.8772,-5.2,1.3,-0.055911,
0.205,-5.161,-5.2,0.002,-0.053688,
0.21,-5.4576,-5.1,4.754,-0.060177,
0.215,-5.7597,-5.2,-5.213,-0.063466,
0.22,-6.068,-5.2,0.781,-0.063466,
0.225,-6.3817,-5.2,-2.951,-0.061866,
0.23,-6.7015,-5.1,2.103,-0.064533,
0.235,-7.0232,-5.2,-1.35,-0.065155,
0.24,-7.3522,-5.2,-2.684,-0.070044,
0.245,-7.694,-5.2,-2.702,-0.068444,
0.25,-8.0486,-5.2,2.979,-0.071644,
0.255,-8.4129,-5.2,-1.952,-0.074311,
0.26,-8.7871,-5.1,3.529,-0.077066,
0.265,-9.1655,-5.2,-3.284,-0.074311,
0.27,-9.558,-5.2,-0.333,-0.082488,
0.275,-9.9498,-5.1,1.576,-0.076444,
0.28,-10.349,-5.1,1.007,-0.078666,
0.285,-10.7555,-5.2,-1.355,-0.084088,
0.29,-11.1681,-5.2,-0.792,-0.086844,
0.295,-11.5788,-5.2,2.309,-0.081866,
0.3,-12.0024,-5.2,2.36,-0.086222,
0.305,-12.4291,-5.2,-2.164,-0.084088,
0.31,-12.8557,-5.2,-4.539,-0.091111,
0.315,-13.2799,-5.2,0.825,-0.083022,
0.32,-13.7236,-5.2,-3.254,-0.091644,
0.325,-14.1661,-5.3,0.099,-0.090577,
0.33,-14.6147,-5.2,-2.309,-0.091111,
0.335,-15.0737,-5.3,-0.636,-0.091644,
0.34,-15.5406,-5.2,3.285,-0.092711,
0.345,-16.0069,-5.2,-2.25,-0.094933,
0.35,-16.4757,-5.3,-1.209,-0.096,
0.355,-16.9481,-5.2,1.182,-0.096,
0.36,-17.4223,-5.2,-0.87,-0.097066,
0.365,-17.8923,-5.2,0.086,-0.093866,
0.37,-18.3635,-5.2,-2.107,-0.0928,
0.375,-18.8335,-5.3,-0.243,-0.093866,
0.38,-19.2973,-5.2,0.737,-0.095466,
0.385,-19.7655,-5.2,-1.62,-0.094933,
0.39,-20.2391,-5.2,-4.659,-0.0944,
0.395,-20.7225,-5.3,0.593,-0.096,
0.4,-21.2108,-5.3,0.79,-0.100888,
0.405,-21.7015,-5.3,-4.623,-0.101955,
0.41,-22.1922,-5.2,0.665,-0.0944,
0.415,-22.683,-5.2,-0.447,-0.097688,
0.42,-23.1767,-5.2,-2.69,-0.103022,
0.425,-23.6571,-5.3,-2.597,-0.096,
0.43,-24.1417,-5.3,3.898,-0.0928,
0.435,-24.6214,-5.3,0.968,-0.093244,
0.44,-25.1,-5.3,-3.361,-0.097688,
0.445,-25.5809,-5.3,2.825,-0.095466,
0.45,-26.0649,-5.3,0.999,-0.096,
0.455,-26.5593,-5.4,-1.752,-0.100355,
0.46,-27.0549,-5.3,1.81,-0.099288,
