Time (s),Current (A)
0.0,2.357992e-07
0.0009765625,2.215384e-07
0.001953125,2.093147e-07
0.0029296875,1.991284e-07
0.00390625,1.777371e-07
0.0048828125,1.654844e-07
0.005859375,1.563167e-07
0.0068359375,1.47149e-07
0.0078125,1.308508e-07
0.0087890625,1.389999e-07
0.009765625,1.400185e-07
0.0107421875,1.308508e-07
0.01171875,1.277949e-07
0.0126953125,1.24739e-07
0.013671875,1.165899e-07
0.0146484375,1.24739e-07
0.015625,1.257577e-07
0.0166015625,1.339067e-07
0.017578125,1.318695e-07
0.0185546875,1.328881e-07
0.01953125,1.308508e-07
0.0205078125,1.308508e-07
0.021484375,1.24739e-07
0.0224609375,1.13534e-07
0.0234375,1.002918e-07
0.0244140625,9.418e-08
0.025390625,8.399365e-08
0.0263671875,7.991912e-08
0.02734375,7.177005e-08
0.0283203125,6.362097e-08
0.029296875,4.321919e-08
0.0302734375,3.405148e-08
0.03125,2.182787e-08
0.0322265625,1.571607e-08
0.033203125,1.266017e-08
0.0341796875,8.58563e-09
0.03515625,5.529728e-09
0.0361328125,7.566996e-09
0.037109375,9.604264e-09
0.0380859375,1.67347e-08
0.0390625,1.469743e-08
0.0400390625,1.06229e-08
0.041015625,1.06229e-08
0.0419921875,1.469743e-08
0.04296875,1.36788e-08
0.0439453125,1.164153e-08
0.044921875,1.266017e-08
0.0458984375,1.775334e-08
0.046875,1.775334e-08
0.0478515625,2.488378e-08
0.048828125,2.488378e-08
0.0498046875,2.182787e-08
0.05078125,1.877197e-08
0.0517578125,2.080924e-08
0.052734375,1.775334e-08
0.0537109375,2.080924e-08
0.0546875,1.571607e-08
0.0556640625,1.469743e-08
0.056640625,1.877197e-08
0.0576171875,9.604264e-09
0.05859375,9.604264e-09
0.0595703125,6.548362e-09
0.060546875,5.529728e-09
0.0615234375,6.548362e-09
0.0625,2.473826e-09
0.0634765625,-1.600711e-09
0.064453125,4.365575e-10
0.0654296875,-1.600711e-09
0.06640625,-2.619345e-09
0.0673828125,-6.693881e-09
0.068359375,-4.656613e-09
0.0693359375,-7.712515e-09
0.0703125,-1.076842e-08
0.0712890625,-1.789886e-08
0.072265625,-1.280569e-08
0.0732421875,-1.280569e-08
0.07421875,-1.891749e-08
0.0751953125,-1.280569e-08
0.076171875,-1.382432e-08
0.0771484375,-1.789886e-08
0.078125,-2.706656e-08
0.0791015625,-3.317837e-08
0.080078125,-3.827154e-08
0.0810546875,-4.234607e-08
0.08203125,-5.253241e-08
0.0830078125,-5.864422e-08
0.083984375,-8.413917e-08
0.0849609375,-1.034932e-07
0.0859375,-1.259032e-07
0.0869140625,-1.493318e-07
0.087890625,-1.584995e-07
0.0888671875,-1.778535e-07
0.08984375,-1.951994e-07
0.0908203125,-2.114975e-07
0.091796875,-2.247398e-07
0.0927734375,-2.390007e-07
0.09375,-2.502056e-07
0.0947265625,-2.552988e-07
0.095703125,-2.654851e-07
0.0966796875,-2.726156e-07
0.09765625,-2.736342e-07
0.0986328125,-2.766901e-07
0.099609375,-2.858578e-07
0.1005859375,-2.848392e-07
0.1015625,-2.787274e-07
0.1025390625,-2.807647e-07
0.103515625,-2.817833e-07
0.1044921875,-2.828019e-07
0.10546875,-2.79746e-07
0.1064453125,-2.848392e-07
0.107421875,-2.868765e-07
0.1083984375,-2.899324e-07
0.109375,-2.878951e-07
0.1103515625,-2.929883e-07
0.111328125,-2.960442e-07
0.1123046875,-3.02156e-07
0.11328125,-2.991001e-07
0.1142578125,-3.174646e-07
0.115234375,-3.266323e-07
0.1162109375,-3.633031e-07
0.1171875,-4.111789e-07
0.1181640625,-4.305621e-07
0.119140625,-4.52972e-07
0.1201171875,-4.631584e-07
0.12109375,-4.794565e-07
0.1220703125,-5.130714e-07
0.123046875,-6.11908e-07
0.1240234375,-8.462521e-07
0.125,-1.022534e-06
0.1259765625,-1.058186e-06
0.126953125,-1.023553e-06
0.1279296875,-9.950018e-07
0.12890625,-9.603682e-07
0.1298828125,-9.145297e-07
0.130859375,-8.635689e-07
0.1318359375,-8.248608e-07
0.1328125,-7.800409e-07
0.1337890625,-7.474155e-07
0.134765625,-7.056515e-07
0.1357421875,-6.710179e-07
0.13671875,-6.271875e-07
0.1376953125,-5.92554e-07
0.138671875,-5.589391e-07
0.1396484375,-5.232578e-07
0.140625,-4.957546e-07
0.1416015625,-4.672329e-07
0.142578125,-4.427857e-07
0.1435546875,-4.132162e-07
0.14453125,-3.857131e-07
0.1455078125,-3.673777e-07
0.146484375,-3.398745e-07
0.1474609375,-3.215391e-07
0.1484375,-2.980814e-07
0.1494140625,-2.777088e-07
0.150390625,-2.60392e-07
0.1513671875,-2.430752e-07
0.15234375,-2.328889e-07
0.1533203125,-2.125162e-07
0.154296875,-2.033485e-07
0.1552734375,-1.921435e-07
0.15625,-1.778535e-07
0.1572265625,-1.62574e-07
0.158203125,-1.493318e-07
0.1591796875,-1.411827e-07
0.16015625,-1.32015e-07
0.1611328125,-1.269218e-07
0.162109375,-1.259032e-07
0.1630859375,-1.157168e-07
0.1640625,-1.055305e-07
0.1650390625,-1.01456e-07
0.166015625,-9.534415e-08
0.1669921875,-8.821371e-08
0.16796875,-8.617644e-08
0.1689453125,-8.413917e-08
0.169921875,-7.802737e-08
0.1708984375,-7.191557e-08
0.171875,-6.98783e-08
0.1728515625,-6.98783e-08
0.173828125,-6.580376e-08
0.1748046875,-5.966285e-08
0.17578125,-5.762558e-08
0.1767578125,-4.845788e-08
0.177734375,-4.642061e-08
0.1787109375,-4.642061e-08
0.1796875,-4.540198e-08
0.1806640625,-4.743924e-08
0.181640625,-4.438334e-08
0.1826171875,-4.438334e-08
0.18359375,-4.234607e-08
0.1845703125,-3.827154e-08
0.185546875,-3.317837e-08
0.1865234375,-2.910383e-08
0.1875,-3.317837e-08
0.1884765625,-3.11411e-08
0.189453125,-3.4197e-08
0.1904296875,-3.4197e-08
0.19140625,-3.012246e-08
0.1923828125,-2.706656e-08
0.193359375,-2.80852e-08
0.1943359375,-2.604793e-08
0.1953125,-2.502929e-08
0.1962890625,-2.706656e-08
0.197265625,-3.317837e-08
0.1982421875,-2.706656e-08
0.19921875,-3.012246e-08
0.2001953125,-2.706656e-08
0.201171875,-2.80852e-08
0.2021484375,-2.706656e-08
0.203125,-1.789886e-08
0.2041015625,-1.688022e-08
0.205078125,-1.382432e-08
0.2060546875,-1.484295e-08
0.20703125,-2.197339e-08
0.2080078125,-2.401066e-08
0.208984375,-2.197339e-08
0.2099609375,-2.604793e-08
0.2109375,-2.299203e-08
0.2119140625,-1.586159e-08
0.212890625,-1.789886e-08
0.2138671875,-1.586159e-08
0.21484375,-1.178705e-08
0.2158203125,-1.586159e-08
0.216796875,-1.382432e-08
0.2177734375,-1.484295e-08
0.21875,-1.586159e-08
0.2197265625,-1.789886e-08
0.220703125,-1.178705e-08
0.2216796875,-7.712515e-09
0.22265625,-1.586159e-08
0.2236328125,-1.280569e-08
0.224609375,-1.484295e-08
0.2255859375,-1.280569e-08
0.2265625,-1.178705e-08
0.2275390625,-1.484295e-08
0.228515625,-1.789886e-08
0.2294921875,-1.789886e-08
0.23046875,-9.749783e-09
0.2314453125,-9.749783e-09
0.232421875,-8.731149e-09
0.2333984375,-9.749783e-09
0.234375,-9.749783e-09
0.2353515625,-1.586159e-08
0.236328125,-1.688022e-08
0.2373046875,-1.586159e-08
0.23828125,-1.382432e-08
0.2392578125,-1.688022e-08
0.240234375,-9.749783e-09
0.2412109375,-1.076842e-08
0.2421875,-6.693881e-09
0.2431640625,-1.280569e-08
0.244140625,-1.484295e-08
0.2451171875,-1.076842e-08
0.24609375,-9.749783e-09
0.2470703125,-8.731149e-09
0.248046875,-1.178705e-08
0.2490234375,-5.675247e-09
0.25,-7.712515e-09
0.2509765625,-1.178705e-08
0.251953125,-1.076842e-08
0.2529296875,-4.656613e-09
0.25390625,-5.675247e-09
0.2548828125,-1.076842e-08
0.255859375,-7.712515e-09
0.2568359375,-1.600711e-09
0.2578125,-5.820766e-10
0.2587890625,2.473826e-09
0.259765625,4.511094e-09
0.2607421875,-5.820766e-10
0.26171875,-1.600711e-09
0.2626953125,-2.619345e-09
0.263671875,-1.600711e-09
0.2646484375,-2.619345e-09
0.265625,-8.731149e-09
0.2666015625,-2.619345e-09
0.267578125,-2.619345e-09
0.2685546875,2.473826e-09
0.26953125,4.365575e-10
0.2705078125,4.365575e-10
0.271484375,-3.637979e-09
0.2724609375,-5.820766e-10
0.2734375,-4.656613e-09
0.2744140625,-7.712515e-09
0.275390625,-8.731149e-09
0.2763671875,-3.637979e-09
0.27734375,-5.820766e-10
0.2783203125,-7.712515e-09
